no_mitra,id_posisi,nama_posisi,nama_mitra,id_mitra,nama_kegiatan,kuota_posisi,lokasi_kerja,tipe_aktivitas,url_logo
170,5ad01782-6cd7-11ed-8fcc-563600033649,Assistant Demand Creation Personal Care Intern - Bekasi,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
171,889640e1-6cd7-11ed-98a6-964ca1abcf1b,Assistant Demand Creation Personal Care Intern - Bogor,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
172,b51f32d9-6cd7-11ed-8fcc-563600033649,Assistant Demand Creation Personal Care Intern - Jakarta,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
173,cdad3003-6cd6-11ed-9c3c-feb214c74b66,Assistant Demand Creation Personal Care Intern - Lampung,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
174,ee039d84-6cd7-11ed-8fcc-563600033649,Assistant Demand Creation Personal Care Intern - Makassar,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,2,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
175,0618e66d-6cd6-11ed-9738-0278cb7f6574,Assistant Demand Creation Personal Care Intern - Pekanbaru,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
176,06508459-6cd7-11ed-9c3c-feb214c74b66,Assistant Demand Creation Personal Care Intern - Solo,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
177,f62437c7-6cd3-11ed-9c3c-feb214c74b66,Assistant Demand Creation Teens & Emerging Intern - Bandung,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
178,baff00e0-6cd3-11ed-9c3c-feb214c74b66,Assistant Demand Creation Teens & Emerging Intern - Cirebon,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
179,88d0019b-6cd6-11ed-98a6-964ca1abcf1b,Assistant Demand Creation Teens & Emerging Intern - Yogyakarta,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
180,ff2956e3-6ccc-11ed-98a6-964ca1abcf1b,Assistant Digitalization (Locomm & CS Online) Intern - Jabodetabek,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
181,2e13a400-6cd9-11ed-9c3c-feb214c74b66,Assistant Digitalization (Locomm & CS Online) Intern - Surabaya,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
182,e29b9995-6ccc-11ed-98a6-964ca1abcf1b,Assistant Emerging Channel Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
183,78176b3e-6c85-11ed-8fcc-563600033649,Assistant International CMM Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
184,44a16d60-6c85-11ed-8fcc-563600033649,Assistant International Market Development Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,2,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
185,cefb494d-6585-11ed-9da9-9afb6f59ce88,Assistant of STEM Digital Teacher (SMP-SMA-SMK),EDUCOURSE,b4ceff37-a672-44e4-a8e1-7b085afdeac8,MAGANG BERSERTIFIKAT STEM DIGITAL EDUCATOR,10,Tangerang Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_f2ded364-8fcf-484f-99a7-dea63c94c7e7.png
186,b0f6ec45-6cdb-11ed-8fcc-563600033649,Assistant Paragon Beauty Academy Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
187,27185219-74c9-11ed-be17-36f737f7a6bf,Assistant Procurement Specialist,Huawei,20f87c97-71f0-4bb0-a591-ed22c767891d,Huawei Roll Out & Manage Service Internship,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d9158ede-a886-4d35-85d2-d71779d89cae.jpg
188,b8ac45f4-756b-11ed-be17-36f737f7a6bf,Assistant Project Controller,Huawei,20f87c97-71f0-4bb0-a591-ed22c767891d,Huawei Roll Out & Manage Service Internship,5,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d9158ede-a886-4d35-85d2-d71779d89cae.jpg
189,7af1196c-75d8-11ed-8c3c-3eca353efbd3,Assistant Quality Control and EHS Engineer,Huawei,20f87c97-71f0-4bb0-a591-ed22c767891d,Huawei Roll Out & Manage Service Internship,3,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d9158ede-a886-4d35-85d2-d71779d89cae.jpg
190,8d15ce46-6ccc-11ed-98a6-964ca1abcf1b,Assistant Retail Busines Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
191,884b4738-6c68-11ed-934e-964ca1abcf1b,Assistant Shopper & Customer Marketing Manager - Labore Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
192,49c4d336-6c68-11ed-934e-964ca1abcf1b,Assistant Shopper & Customer Marketing Manager - Make Over Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,2,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
193,a5b6d2be-6c68-11ed-934e-964ca1abcf1b,Assistant Shopper & Customer Marketing Manager - TAVI Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
194,e3428104-6cd5-11ed-8fcc-563600033649,Assistant Shopper Experience Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
195,2823db34-93b8-11ed-9a81-0e0e272ec745,Associate Facilitator Offline,Sekolah.mu,c2bfb0e4-c49c-4e14-abf7-74d21f0aaa05,BLENDED LEARNING EDUCATION INNOVATOR,10,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c80c2219-0842-4ed0-91f6-31f13a51d45e.png
196,eb381884-6ede-11ed-86a1-563600033649,Associate Software Engineer Backend,Sekolah.mu,c2bfb0e4-c49c-4e14-abf7-74d21f0aaa05,BLENDED LEARNING EDUCATION INNOVATOR,5,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c80c2219-0842-4ed0-91f6-31f13a51d45e.png
197,b263d9ef-6edf-11ed-818c-feb214c74b66,Associate Software Engineer - Frontend,Sekolah.mu,c2bfb0e4-c49c-4e14-abf7-74d21f0aaa05,BLENDED LEARNING EDUCATION INNOVATOR,4,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c80c2219-0842-4ed0-91f6-31f13a51d45e.png
198,5aefa432-73d9-11ed-84f4-260399e19f34,Assy & Painting Division - Assy Painting Engineering Service Intern,Toyota Indonesia,52ec1191-2559-49fb-972c-abef2629cdbc,Toyota Internship Program,1,"Sunter, Jakarta Utara & Karawang, Jawa Barat",OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_9ec83d03-8bed-47be-94f2-60e034c180c4.png
199,afa45069-73d9-11ed-84f4-260399e19f34,Assy & Painting Division - Assy Plant 2 Intern,Toyota Indonesia,52ec1191-2559-49fb-972c-abef2629cdbc,Toyota Internship Program,1,"Sunter, Jakarta Utara & Karawang, Jawa Barat",OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_9ec83d03-8bed-47be-94f2-60e034c180c4.png
200,e1a9f171-812f-11ed-979c-f6e17ff1bedb,Atokotei Intern,Bridgestone,6a82280c-7d74-4b04-a286-5fdfa1569975,BE INTERN Building Digital Future,1,Kab. Karawang,BLENDED,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_f3a2b24c-b002-4fa2-9f80-b281d99c0795.png
201,cd76d463-6169-11ed-b3d1-4eaca8c1bf53,Auction Relation Officer - JBA (Jakarta),ASSA,631c1888-6d99-43db-bfff-086dafc150c3,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1,Kota Jakarta Utara,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_e9d9b6c8-552b-47fd-a9da-24b9557bb28b.png
202,d1eac21d-6b11-11ed-8225-d61b0e2692e7,Automation  & Electrical Infrastructure Project Analyst Officer,PT Bumitama Gunajaya Agro,8816b5f5-7f39-459c-ba0c-86996423c5e5,Officer Development Program,1,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_629f2eb8-a747-4cee-a5c3-e27c8a8ec63e.png
203,9c5ada0c-6fab-11ed-8b84-22d0c8df9d48,Automation Engineer,Dankos,e3c02360-8ec1-4783-9790-80afa6cf1114,Data Acquisition Project Plans,2,Kota Jakarta Timur,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_caf860b4-53f3-4eff-addc-dcc5b198740d.jpg
204,4a63b064-6bfe-11ed-8441-22d0c8df9d48,Automation Factory Engineer  Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Supply Chain Management Directorate,2,Kota Tangerang,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
205,82ad9986-6fb8-11ed-a7a1-0278cb7f6574,Automation & IIoT Engineer,Dankos,e3c02360-8ec1-4783-9790-80afa6cf1114,Manufacturing & Engineering Digitalization,6,Kab. Bekasi,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_caf860b4-53f3-4eff-addc-dcc5b198740d.jpg
206,3f903bb8-6c04-11ed-8441-22d0c8df9d48,Automation Process Material Planner Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Supply Chain Management Directorate,2,Kota Tangerang,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
207,d6b8ef6d-64e2-11ed-b74d-2af064b3727d, B2B Customer Success Intern,Orbit Future Academy,0be8abbc-2642-42b4-9ca5-4d33f4704a94, Orbit 4 Indonesia Internship Program,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_58c94cca-97a8-4618-a010-5296281e0222.jpg
208,71cd1ab3-6efe-11ed-9cff-0278cb7f6574,B2B Sales Development,Sekolah.mu,c2bfb0e4-c49c-4e14-abf7-74d21f0aaa05,BLENDED LEARNING EDUCATION INNOVATOR,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c80c2219-0842-4ed0-91f6-31f13a51d45e.png
209,e001b918-8027-11ed-8fbf-aa76604f701e,B2B Solution Intern,Telkomsel,162aef9f-4662-4465-82d8-7adf85a712f0,How To Win Client Of Digital Advertising,1,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_50747a6b-6962-4e51-bfa6-406c27ebc6b6.png
210,908485a7-6ca3-11ed-934e-964ca1abcf1b,B2B STORE SUPPORT,Alfamart,313a80ac-21da-47fe-a999-e9d82b912be2,Monitoring Order Online,3,Kota Tangerang,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_906ac76c-6666-4a66-a24f-7dabf0340dcf.jpg
211,75af1a20-64e2-11ed-b5cc-0a223dcf0f66,B2C Customer Success Intern,Orbit Future Academy,0be8abbc-2642-42b4-9ca5-4d33f4704a94, Orbit 4 Indonesia Internship Program,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_58c94cca-97a8-4618-a010-5296281e0222.jpg
212,9e6d1199-586b-11ed-b1fc-7a77835150ba,"Back End, API, & Database Developer (KG Project)",M-Knows Consulting,e11d086f-a5f6-4a48-b9de-0cab5d5f5960,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,4,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_942d9672-8cf9-4b06-ac86-ab4aa197d01f.png
213,55df425f-6ed1-11ed-86a1-563600033649,Back-end Developer,Telkom,95c5cbf2-68be-4146-9fef-f891db857f3b,Digital Amoeba,5,"Kota Jakarta Selatan, Kota Jakarta Pusat, Kota Bandung",OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_fd204644-5cb0-4ff1-a187-0becd4016be4.png
214,57e855d5-7190-11ed-b6f7-86f9589d528b,Backend Developer,Suitmedia,8bbe4d2b-fcb8-4bc3-a414-4393f5cb0d1b,Suitmedia National Internship Program 2023,12,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_a81e2a5b-5e10-4a12-9561-3c627723e77f.png
215,2d0f39bb-706a-11ed-b6f6-62d54cabf853,Backend Developer,VOCASIA,77cde2f6-fa33-4932-8847-83b3414b1877,Vocasia Internship Professional Edutech Program,5,Kota Jakarta Timur,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_47596fd8-2b46-4ad8-8a00-392d7c8107a2.png
216,ef1a8d17-6b0d-11ed-a22e-c63f61abb566,Backend Developer,Widya Robotics,93cf8c69-e6cc-423b-a011-695680382291,"Learning Management di Startup Artificial Intelligence, IoT, dan Robotika",2,Kab. Sleman,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_ac92522e-1227-497a-bb7c-6783e41bb299.png
217,1e769cb6-803d-11ed-b375-2603a0457f29,Backend Developer ,Home Credit Indonesia,ae9a3576-23cb-42c2-9885-4cb1a4141799,Home Credit Apprenticeship  Program (HAP) 3.0 ,4,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_8471966c-6da5-47b7-9275-8de31d6c807b.png
218,e9a07220-7094-11ed-8ea0-7e8ddab09462, Back End Developer,Synapsis.id,b8aaf5af-e69c-4434-89b5-dc2dbbdf7a15,Learning Practice Program ,5,Kota Jakarta Timur,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c197900c-4362-422d-8cef-5c2f03d7ddb6.png
219,0b658e26-6ff9-11ed-83fd-7e8ddab09462,BackEnd Developer,Bangbeli,28db6842-7383-42ba-80b7-bf02b8aac8f7, Project-Based Learning Internship Bangbeli,3,Kota Malang,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c75e82ed-0291-4702-be9a-43e96b6e253d.png
220,82f0023b-5696-11ed-a8eb-9a9247092b05,"Back End Developer For Healthcare, Credit Scoring & LXP Project",M-Knows Consulting,e11d086f-a5f6-4a48-b9de-0cab5d5f5960,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,6,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_942d9672-8cf9-4b06-ac86-ab4aa197d01f.png
221,200201e1-750c-11ed-b175-b2d858cc7bd2,Backend Developer Intern,BNI,1434cd57-6295-441a-898a-7294119a96d7,BNI Digital Talent Thematic Internship,10,Kota Jakarta Barat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_642f3ae3-5162-4f40-aba6-e0c819df5f56.jpg
222,e2d94bba-707a-11ed-9540-86f9589d528b,Back-End Developer (Satudikti),Dikti,55eb611a-16ed-4166-adf7-3254e22ba206,Pengembangan Aplikasi Satudikti,4,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_29f078c6-3091-48bf-aae7-206662f521aa.png
223,f759e594-739a-11ed-8842-d258d28d0ecb,Backend Engineering Intern,Shipper,648a1e21-4b5d-4a2c-b02e-2ead74eae085,Shipper Academy Internship Program Season 2.0,3,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b76494ae-980d-4a68-9115-38613dc21698.png
224,a4c60ace-7457-11ed-b2a2-1a198d2f4c14,Backend Engineer Intern,Traveloka,38b1780f-5eac-4fb2-922b-a38c739477e3,Traveloka Internship Program,17,Kab. Tangerang,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_1c20cb68-13bc-474d-8c50-9bb233cddef6.png
225,5bc1ea42-7f63-11ed-b9d2-ae9e72da6bb1,Back-end Programmer,Sebangku Games,a79ed31b-6180-41a7-87ce-9727630f5361,Aktivitas 2 -  MARICA; Platform Pembelajaran Berbasis Gamifikasi,2,Kota Yogyakarta,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_57bf2cf6-61e6-45b0-9d84-47610a22952b.png
226,f7b4ffac-4eb1-11ed-9f30-c28fdeb2b454,Backend Programmer,dr. Mekanik Academy,51eebb91-c684-4d2c-a4bb-b1784a3be41a,dr. MEKANIK ACADEMY,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_14a64f25-841d-4162-8a8e-f6793d5882f1.png
227,03870e5e-6d43-11ed-8441-22d0c8df9d48,Backend Programmer,BISA AI ACADEMY,cfca8159-1096-4dd6-a3b7-ab0da4507cc6,Engineering Sistem ERP Pendidikan Bisa AI Academy,2,Kota Bandung,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_f4097b5d-c439-431c-ad91-30d6e505287c.jpg
228,3b2840f4-4e7d-11ed-b7a0-b2a0cab2a843,Backend Programmer,dr. Mekanik Academy,51eebb91-c684-4d2c-a4bb-b1784a3be41a,SMART AUTOMATIC GUIDED VEHICLE (AGV),2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_14a64f25-841d-4162-8a8e-f6793d5882f1.png
229,36d75c75-7f50-11ed-9af6-e28bf6b6d14d,Back-End Programmer,Sebangku Games,a79ed31b-6180-41a7-87ce-9727630f5361,Aktivitas 1 -  Pengembangan Platform Pembelajaran Literasi Anak,1,Kota Yogyakarta,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_57bf2cf6-61e6-45b0-9d84-47610a22952b.png
230,61b23333-7f3e-11ed-b2f3-c6fe83fcca68,Back-End Web Developer ,Berau Coal,ec0dd4db-c8de-4171-8079-46070738ce4a,12 : Supply Chain Modelling & PQSC Dashboard Development,1,Kab. Berau,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_2ff77b56-98de-4831-a033-f819bb3d605c.jpg
231,5356b013-6046-11ed-b7c7-aaf123262558,Bahasa Indonesia Subject Research Intern,Zenius,261f4d66-aa98-41a5-a213-a079764411a7,Zenius Professionals Practice Program Angkatan 4,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_344946d7-f9c2-4c1e-8af0-646114c7d8ad.png
232,0f6d0dc6-8108-11ed-8834-ae9e72da6bb1,Bancassurance,Bank Danamon,4fe86c18-31b5-4adf-a5cf-1c9fb8386f52,Danamon Apprenticeship Program,5,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_eb673130-fd5c-4289-8a4b-f263460c9494.png
233,ce8fba66-9612-11ed-bf0f-7ee2f7e1f3c1,Bartendress,The Royal Santrian Luxury Beach Villas,87c66d10-4380-4c12-895c-61bcb10e0067,Magang Bersertifikat Pariwisata Perhotelan,1,Kab. Badung,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b555ebbc-732f-418e-840e-4dbc8808865e.png
234,154d586e-6c74-11ed-934e-964ca1abcf1b,BCA Young Innovators (BYON),BCA,8a7e142f-1562-49c4-865d-26bfc2cb3dfe,BCA Young Innovators (BYON),1,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_6c0a7c7b-8ff3-4214-8474-2872769e4063.jpg
235,670876a8-80cc-11ed-b375-2603a0457f29,BCIP - Graphic Designer,Kompas Gramedia,c8bece01-8738-4a37-90f9-3d0302da1cd7,Kompas Gramedia - KG Media: Trusted Connected,2,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png
236,6e39e4cf-80cd-11ed-bf55-e28bf6b6d14d,BCIP - Social Media Officer,Kompas Gramedia,c8bece01-8738-4a37-90f9-3d0302da1cd7,Kompas Gramedia - KG Media: Trusted Connected,2,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png
237,ef1c2751-80cd-11ed-bf55-e28bf6b6d14d,BCIP - Video Specialist,Kompas Gramedia,c8bece01-8738-4a37-90f9-3d0302da1cd7,Kompas Gramedia - KG Media: Trusted Connected,2,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png
238,d3e5ea4e-80c3-11ed-82a8-2615bc75a6a3,BD - Business Development Officer,Kompas Gramedia,c8bece01-8738-4a37-90f9-3d0302da1cd7,"Kompas Gramedia - Dyandra: MICE (Meetings, Incentives, Conferences, Exhibitions) ",2,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png
239,aa114d85-55ad-11ed-9b1f-3642855f7e03,Bid Management B2B Intern,XL Axiata,c6eaa287-d3a3-4dc4-92b0-c3cabfe9a698,DYNAMIC SUSTAINABILITY PROGRAMS (OFFLINE INTERNSHIP),3,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_fa53cb75-1f5f-4bad-832b-4cf3dbbf28b5.jpg
240,0a8b8a30-4ec0-11ed-869c-5a64ff3a4876,Bimbingan Konseling & Psikologi Siswa,Sekolah Kak Seto Grup,a4db9260-768a-42f7-b963-ca24682e4439,Manajemen Tenaga Kependidikan dan Pembelajaran Sekolah Kak Seto,5,Kota Tangerang Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_891a19d1-8bc0-469a-88a2-1f27e966a409.png
241,df8c08ae-6b84-11ed-8147-a2c3ec1c6e84,Biodef Digital Transformation Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Marketing Directorate,1,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
242,cd416f03-6047-11ed-bb63-2e0edbdc1ce0,Biology Subject Research Intern,Zenius,261f4d66-aa98-41a5-a213-a079764411a7,Zenius Professionals Practice Program Angkatan 4,1,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_344946d7-f9c2-4c1e-8af0-646114c7d8ad.png
